 
                                                                                                                                                                                                                                                                
 
gvkey     datadate     fyear    cik
010991    20151231      2015    0000750004
010999    20151231      2015    0000755001
011012    20151231      2015    0000310142
011017    20160331      2015    0000102037
011027    20160331      2015    0000102109
011032    20151231      2015    0000352915
011051    20151231      2015    0000706698
011060    20151231      2015    0000103379
011065    20151231      2015    0000102752
011094    20151231      2015    0000102729
011096    20151031      2015    0000102741
011099    20160430      2015    0000717720
011099    20160430      2015    0000717720
011115    20150930      2015    0000203527
011124    20151231      2015    0000103145
011161    20150930      2015    0000310056
011169    20160229      2015    0000758743
011178    20150731      2015    0000103595
011185    20160131      2015    0000751365
011191    20151231      2015    0000103730
011213    20151031      2015    0000103872
011220    20151231      2015    0000899689
011220    20151231      2015    0000899689
011228    20151231      2015    0001396009
011234    20150831      2015    0000105132
011259    20160131      2015    0000104169
011264    20150831      2015    0001618921
011296    20150930      2015    0001103601
011300    20151231      2015    0000104889
011301    20151231      2015    0000104894
011301    20151231      2015    0000104894
011302    20150831      2015    0000104897
011304    20151231      2015    0000104918
011313    20151231      2015    0000105016
011340    20151231      2015    0000828916
011340    20151231      2015    0000828916
011343    20151231      2015    0000105418
011361    20151231      2015    0000105608
011372    20151231      2015    0000105744
011376    20151231      2015    0000105770
011399    20150630      2015    0000106040
011440    20151231      2015    0000106455
011455    20151231      2015    0000106532
011456    20151231      2015    0000106535
011462    20151231      2015    0000106618
011465    20151231      2015    0000106640
011499    20160430      2015    0000107140
011506    20151231      2015    0000107263
011511    20160131      2015    0000719955
011537    20150831      2015    0000107687
011538    20151231      2015    0001617227
011550    20151231      2015    0000783325
011554    20151231      2015    0000352541
011566    20151231      2015    0000110471
011580    20150930      2015    0000108312
011584    20160131      2015    0000850209
011600    20160531      2015    0000108516
011636    20151231      2015    0000108772
011644    20151231      2015    0000318996
011649    20151231      2015    0000716006
011657    20151231      2015    0000108985
011670    20150930      2015    0000109177
011672    20160131      2015    0000109198
011687    20151231      2015    0000109380
